t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.053,1.29617e-05,-9.70045e-09,-0.000707283,1.95921e-05,0.00241171,0.000354929,0.00090726,-2.56535e-06,-0.0239984,0.00329734,0.120632,0.0199915,0.654815,0.615496,0.643147,0.626778,0,0
0.054,1.38913e-05,-1.24462e-08,-0.00073142,2.12803e-05,0.00247174,0.000364924,0.000952004,-2.93128e-06,-0.0242765,0.00344448,0.119479,0.0199999,0.655533,0.615657,0.643685,0.627103,0,0
0.055,1.48661e-05,-1.55735e-08,-0.000755832,2.30422e-05,0.00253117,0.000374921,0.000997838,-3.32866e-06,-0.0245476,0.00359064,0.118241,0.0199997,0.656238,0.61583,0.644218,0.627432,0,0
0.056,1.58873e-05,-1.91145e-08,-0.000780512,2.48769e-05,0.00258996,0.000384916,0.00104475,-3.75886e-06,-0.0248116,0.00373547,0.116922,0.0199912,0.656931,0.616015,0.644745,0.627764,0,0
0.057,1.69559e-05,-2.31027e-08,-0.000805452,2.6784e-05,0.00264807,0.000394904,0.00109273,-4.22322e-06,-0.0250685,0.00387864,0.115525,0.0199749,0.65761,0.616211,0.645266,0.628101,0,0
0.058,1.80731e-05,-2.75729e-08,-0.000830646,2.87624e-05,0.00270547,0.000404882,0.00114175,-4.72308e-06,-0.0253185,0.00401986,0.114055,0.0199512,0.658277,0.616417,0.645781,0.62844,0,0
0.059,1.92398e-05,-3.25612e-08,-0.000856086,3.08111e-05,0.00276211,0.000414846,0.00119182,-5.25976e-06,-0.0255615,0.00415881,0.112515,0.0199205,0.65893,0.616635,0.646291,0.628783,0,0
0.06,2.04571e-05,-3.81052e-08,-0.000881765,3.29289e-05,0.00281797,0.000424793,0.0012429,-5.83456e-06,-0.0257975,0.00429522,0.11091,0.0198832,0.659569,0.616862,0.646794,0.629128,0,0
0.061,2.1726e-05,-4.42435e-08,-0.000907677,3.51145e-05,0.00287301,0.000434719,0.001295,-6.44876e-06,-0.0260267,0.00442877,0.109244,0.0198397,0.660196,0.6171,0.64729,0.629475,0,0
0.062,2.30474e-05,-5.10163e-08,-0.000933815,3.73664e-05,0.0029272,0.000444622,0.00134808,-7.1036e-06,-0.0262491,0.0045592,0.10752,0.0197904,0.660809,0.617348,0.647781,0.629825,0,0
